,ritz_wl_vac(nm),Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
82,345.0428,18000000.0,C+,3p6.3d8.(3F).4s,b 4F,9/2,3p6.3d8.(3F).4p,y 4G*,9/2,10.0,10.0
83,345.4498,110000000.0,C+,3p6.3d8.(3F).4s,b 4F,9/2,3p6.3d8.(3F).4p,y 4G*,11/2,10.0,12.0
84,345.6223,19000000.0,C,3p6.3d7.4s2,a 4F,3/2,3p6.3d7.(4F).4s.4p.(3P*),z 4D*,1/2,4.0,2.0
85,346.3795,79000000.0,C+,3p6.3d8.(3F).4s,b 4F,3/2,3p6.3d8.(3F).4p,*,5/2,4.0,6.0
86,346.6779,9200000.0,C,3p6.3d7.4s2,a 4F,9/2,3p6.3d7.(4F).4s.4p.(3P*),z 4G*,11/2,10.0,12.0
87,347.4965,3400000.0,C,3p6.3d7.4s2,a 4F,9/2,3p6.3d7.(4F).4s.4p.(3P*),z 4F*,7/2,10.0,8.0
88,347.5035,56000000.0,B,3p6.3d8.(3F).4s,b 4F,5/2,3p6.3d8.(3F).4p,*,7/2,6.0,8.0
89,347.5523,380000.0,C,3p6.3d8.(3F).4s,b 4F,5/2,3p6.3d7.(4F).4s.4p.(3P*),z 2D*,5/2,6.0,6.0
90,348.4402,5500000.0,C+,3p6.3d8.(3F).4s,b 4F,7/2,3p6.3d8.(3F).4p,y 4F*,9/2,8.0,10.0
91,349.0398,130000000.0,C,3p6.3d8.(3F).4s,a 2F,7/2,3p6.3d8.(3F).4p,y 2D*,5/2,8.0,6.0
92,349.2315,5000000.0,C,3p6.3d7.4s2,a 4F,3/2,3p6.3d7.(4F).4s.4p.(3P*),z 4D*,3/2,4.0,4.0
93,349.6681,49000000.0,C+,3p6.3d8.(3F).4s,b 4F,3/2,3p6.3d8.(3F).4p,y 4G*,5/2,4.0,6.0
94,349.7676,3400000.0,C,3p6.3d8.(3F).4s,b 4F,7/2,3p6.3d7.(4F).4s.4p.(3P*),z 2G*,7/2,8.0,8.0
95,350.328,80000000.0,C+,3p6.3d8.(3F).4s,b 4F,9/2,3p6.3d8.(3F).4p,y 4D*,7/2,10.0,8.0
96,350.3619,5200000.0,C,3p6.3d7.4s2,a 4F,5/2,3p6.3d7.(4F).4s.4p.(3P*),z 4D*,5/2,6.0,6.0
97,350.7315,82000000.0,C+,3p6.3d8.(3F).4s,b 4F,7/2,3p6.3d8.(3F).4p,y 4D*,5/2,8.0,6.0
98,351.0844,32000000.0,C+,3p6.3d8.(3F).4s,b 4F,5/2,3p6.3d8.(3F).4p,*,7/2,6.0,8.0
99,351.1418,3800000.0,C+,3p6.3d7.4s2,a 4F,7/2,3p6.3d7.(4F).4s.4p.(3P*),z 4D*,7/2,8.0,8.0
100,351.3642,100000000.0,C,3p6.3d8.(3F).4s,b 4F,5/2,3p6.3d8.(3F).4p,y 4D*,3/2,6.0,4.0
101,351.4478,7800000.0,C,3p6.3d7.4s2,a 4F,7/2,3p6.3d7.(4F).4s.4p.(3P*),z 4G*,9/2,8.0,10.0
102,351.9352,160000000.0,C,3p6.3d8.(3F).4s,a 2F,5/2,3p6.3d8.(3F).4p,y 2D*,3/2,6.0,4.0
