,ritz_wl_vac(nm),Aki(s^-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
123,269.907609,23333333.333333332,3d7.(2G).4p,z 1G*,nan,3d7.(2G).5s,f 3G,nan,9.0,27.0
124,524.09542,25312500.0,3d7.(4F).4d,e 5D,nan,3d7.(4F<9/2>).4f,2[7/2]*,nan,25.0,16.0
125,496.26169,48991666.666666664,3d7.(4F).4d,f 5F,nan,3d7.(4F<9/2>).4f,2[11/2]*,nan,35.0,24.0
126,623.3081500000001,20050000.0,3d7.(4F).5p,5D*,nan,3d7.(4F).5d,5F,nan,21.0,20.0
127,236.44713125,311974358.974359,3d7.(2H).4p,y 3H*,nan,3d7.(2H).4d,3I,nan,33.0,39.0
128,839.8087400000001,17619047.61904762,3d7.(4P).5s,5P,nan,3d7.(4P).5p,5D*,nan,15.0,21.0
129,523.19452,11666666.666666666,3d7.(4F).4d,e 5D,nan,3d7.(4F<9/2>).4f,2[5/2]*,nan,25.0,12.0
130,1570.9981,248571.42857142858,3d7.(4F).4d,e 5G,nan,3d7.(4F).5p,3F*,nan,45.0,21.0
131,573.84149,39666666.666666664,3d7.(4F).4d,f 3F,nan,3d7.(4F<3/2>).4f,2[5/2]*,nan,21.0,12.0
132,660.074885,93250000.0,3d7.(4F).5p,3G*,nan,3d7.(4F).5d,3H,nan,27.0,24.0
